#sno	source	period	date	where	title	text	notes	image	site	external	linkedin	facebook	instagram	youtube
100	[South Feminist Futures](https://www.linkedin.com/company/south-feminist-futures/)			brinda	Feminist Internationalism and Resistance to Neoliberal Globalisation	A workshop for Nov 21 by Sylvia Tamale	shared	https://media.licdn.com/dms/image/v2/D5622AQHe5T1HyKawtg/feedshare-shrink_800/feedshare-shrink_800/0/1730473114883?e=1734566400&v=beta&t=0gqO50hw0zrS0MkfjWcxg7F_XWto1_LNqs4awPhyoAg			https://www.linkedin.com/posts/south-feminist-futures_feminist-africanfeminist-activity-7258130314030403587-CkuR?utm_source=share&utm_medium=member_desktop			
99	[Rising Flame](https://www.linkedin.com/company/rising-flame/)			brinda	Request for endorsement	We now need your endorsement so the collective voices of women and girls with disabilities and their allies in all their diversities are heard.	shared	https://media.licdn.com/dms/image/v2/D4D22AQEu8BOTTTLHiw/feedshare-shrink_800/feedshare-shrink_800/0/1730986050705?e=1734566400&v=beta&t=cEjjPdLpwPQiMH_n22o0izWOHFZ98mTn-vOiiR3VkQY		https://lnkd.in/dssCMY9C	https://www.linkedin.com/posts/rising-flame_to-ensure-the-voices-asks-and-concerns-of-ugcPost-7260281726273277952-M4Ez?utm_source=share&utm_medium=member_desktop			
98	[Tara Krishnaswamy](https://www.linkedin.com/in/tara-krishnaswamy-8308672/)			brinda	Review of the Nari Shakti Vandan Adhiniyam, the Women's Reservation Bill that was passed in 2023	This is to flag to the Government of India, and state governments, a reminder of commitments left unfulfilled, and recommend specific pathways to achieve the Beijing Declaration of Platform for Action.	shared	https://media.licdn.com/dms/image/v2/D5622AQE1C_PmqFumIg/feedshare-shrink_800/feedshare-shrink_800/0/1729673264706?e=1734566400&v=beta&t=Rh37NGSMU09-sxvUqoLPKg-U8ezApHGdBhNhRx4gRIc			https://www.linkedin.com/posts/tara-krishnaswamy-8308672_beijing30-ugcPost-7254776764986507265-nr3E?utm_source=share&utm_medium=member_desktop			
97	[Vibhuti Patel](https://www.linkedin.com/in/vibhuti-patel-a008042b)			brinda	National Alliance of Women's Organisations organized "Revisiting and Re-Envisioning Beijing"	Women from 3 generations- students, teachers, urban-rural-tribal working women, trade unionists, members of NGOs-CBOs-SHGs, faculty members of women's studies centres, think tanks, political activists and Feminist researchers, activists engaged in civil liberties concerns, journalists and members of national level women's organisations took active part in the deliberations	shared	https://media.licdn.com/dms/image/v2/D4D22AQGgWLhBpuLmhQ/feedshare-shrink_800/feedshare-shrink_800/0/1730543471372?e=1734566400&v=beta&t=yKkcfj0TWI3BKKjlfE58_QzKiAxE8C1vcThym_SnVc4			https://www.linkedin.com/posts/vibhuti-patel-a008042b_on-the-eve-of-beijing-30-review-national-ugcPost-7258425443698032640-nR3V?utm_source=share&utm_medium=member_desktop			
96	[Urivi Vikram Charitable Trust](https://www.linkedin.com/company/urivi-vikram-charitable-trust/)			brinda	3-Days Hands on Training on Data Analysis	Uses Statistical Package for Social Sciences	webmaster to find out more	https://media.licdn.com/dms/image/v2/D561EAQF_YQhkdc9FHg/event-background-image-crop_720_1280/event-background-image-crop_720_1280/0/1730497898308?e=1732093200&v=beta&t=bYPoC2dcTLnKxwP6Y5A4rQqLlV3TN6mCINdQrxXwqqQ			https://www.linkedin.com/posts/urivi-vikram-charitable-trust_uvct-uvnac-ngo-activity-7258234263718830080-HCbT?utm_source=share&utm_medium=member_desktop			
